,period,year,month,county,code,cases_under_5yo,cases_over_5yo,total_cases,temp,rainfall,month_code,county_code
309,23-Oct,2023,Oct,Isiolo,KE_County_11,30,143,173,20,39.81,10,11
310,23-Nov,2023,Nov,Isiolo,KE_County_11,92,169,261,17,299.05,11,11
311,23-Dec,2023,Dec,Isiolo,KE_County_11,31,223,254,18,138.64,12,11
312,24-Jan,2024,Jan,Isiolo,KE_County_11,90,1018,1108,19,113.32,1,11
313,24-Feb,2024,Feb,Isiolo,KE_County_11,80,666,746,20,76.53,2,11
314,24-Mar,2024,Mar,Isiolo,KE_County_11,82,290,372,20,104.42,3,11
315,24-Apr,2024,Apr,Isiolo,KE_County_11,35,161,196,19,295.42,4,11
316,24-May,2024,May,Isiolo,KE_County_11,90,375,465,18,137.62,5,11
317,24-Jun,2024,Jun,Isiolo,KE_County_11,72,313,385,18,17.06,6,11
318,24-Jul,2024,Jul,Isiolo,KE_County_11,68,317,385,18,55.59,7,11
319,24-Aug,2024,Aug,Isiolo,KE_County_11,44,229,273,18,27.9,8,11
320,24-Sep,2024,Sep,Isiolo,KE_County_11,25,150,175,20,51.78,9,11
321,24-Oct,2024,Oct,Isiolo,KE_County_11,105,402,507,21,2.82,10,11
322,24-Nov,2024,Nov,Isiolo,KE_County_11,63,133,196,18,236.77,11,11
323,24-Dec,2024,Dec,Isiolo,KE_County_11,57,378,435,18,59.97,12,11
324,22-Jan,2022,Jan,Kajiado,KE_County_34,103,298,401,20,77.89,1,34
325,22-Feb,2022,Feb,Kajiado,KE_County_34,108,194,302,22,18.6,2,34
326,22-Mar,2022,Mar,Kajiado,KE_County_34,60,498,558,22,17.94,3,34
327,22-Apr,2022,Apr,Kajiado,KE_County_34,172,275,447,20,78.37,4,34
328,22-May,2022,May,Kajiado,KE_County_34,88,393,481,19,15.84,5,34
329,22-Jun,2022,Jun,Kajiado,KE_County_34,57,289,346,18,7,6,34
330,22-Jul,2022,Jul,Kajiado,KE_County_34,55,208,263,17,10.1,7,34
331,22-Aug,2022,Aug,Kajiado,KE_County_34,36,162,198,18,15.9,8,34
332,22-Sep,2022,Sep,Kajiado,KE_County_34,68,417,485,19,16.3,9,34
333,22-Oct,2022,Oct,Kajiado,KE_County_34,38,356,394,20,7.2,10,34
334,22-Nov,2022,Nov,Kajiado,KE_County_34,59,171,230,19,88.24,11,34
335,22-Dec,2022,Dec,Kajiado,KE_County_34,34,162,196,19,32.4,12,34
336,23-Jan,2023,Jan,Kajiado,KE_County_34,164,462,626,20,5.3,1,34
337,23-Feb,2023,Feb,Kajiado,KE_County_34,207,264,471,22,0.89,2,34
338,23-Mar,2023,Mar,Kajiado,KE_County_34,43,176,219,21,146.53,3,34
339,23-Apr,2023,Apr,Kajiado,KE_County_34,64,254,318,19,162.45,4,34
340,23-May,2023,May,Kajiado,KE_County_34,113,510,623,19,56.05,5,34
341,23-Jun,2023,Jun,Kajiado,KE_County_34,69,360,429,18,32.15,6,34
342,23-Jul,2023,Jul,Kajiado,KE_County_34,77,323,400,18,8,7,34
343,23-Aug,2023,Aug,Kajiado,KE_County_34,91,342,433,19,8.4,8,34
344,23-Sep,2023,Sep,Kajiado,KE_County_34,90,394,484,20,50,9,34
345,23-Oct,2023,Oct,Kajiado,KE_County_34,35,245,280,21,18.2,10,34
346,23-Nov,2023,Nov,Kajiado,KE_County_34,66,173,239,18,191.89,11,34
347,23-Dec,2023,Dec,Kajiado,KE_County_34,52,223,275,19,58.12,12,34
348,24-Jan,2024,Jan,Kajiado,KE_County_34,189,555,744,19,148.06,1,34
349,24-Feb,2024,Feb,Kajiado,KE_County_34,89,396,485,21,55.26,2,34
350,24-Mar,2024,Mar,Kajiado,KE_County_34,78,499,577,22,75.86,3,34
351,24-Apr,2024,Apr,Kajiado,KE_County_34,74,278,352,19,378.88,4,34
352,24-May,2024,May,Kajiado,KE_County_34,53,252,305,19,167.45,5,34
353,24-Jun,2024,Jun,Kajiado,KE_County_34,115,406,521,18,48.75,6,34
354,24-Jul,2024,Jul,Kajiado,KE_County_34,82,488,570,18,43.89,7,34
355,24-Aug,2024,Aug,Kajiado,KE_County_34,50,300,350,19,3.48,8,34
356,24-Sep,2024,Sep,Kajiado,KE_County_34,42,194,236,20,12.85,9,34
357,24-Oct,2024,Oct,Kajiado,KE_County_34,26,202,228,21,11.52,10,34
358,24-Nov,2024,Nov,Kajiado,KE_County_34,35,205,240,20,142.76,11,34
359,24-Dec,2024,Dec,Kajiado,KE_County_34,39,183,222,19,37.48,12,34
360,22-Jan,2022,Jan,Kakamega,KE_County_37,6511,29334,35845,21,159.13,1,37
361,22-Feb,2022,Feb,Kakamega,KE_County_37,6476,22922,29398,21,121.36,2,37
362,22-Mar,2022,Mar,Kakamega,KE_County_37,8593,26113,34706,22,148.99,3,37
363,22-Apr,2022,Apr,Kakamega,KE_County_37,8100,29488,37588,21,343.03,4,37
364,22-May,2022,May,Kakamega,KE_County_37,12533,50084,62617,20,214.46,5,37
365,22-Jun,2022,Jun,Kakamega,KE_County_37,15246,61135,76381,19,74.16,6,37
366,22-Jul,2022,Jul,Kakamega,KE_County_37,10348,44367,54715,19,105.76,7,37
367,22-Aug,2022,Aug,Kakamega,KE_County_37,8287,32581,40868,19,190.96,8,37
368,22-Sep,2022,Sep,Kakamega,KE_County_37,7618,28204,35822,19,159.1,9,37
369,22-Oct,2022,Oct,Kakamega,KE_County_37,6879,28533,35412,20,182.86,10,37
370,22-Nov,2022,Nov,Kakamega,KE_County_37,7062,25818,32880,19,318.26,11,37
371,22-Dec,2022,Dec,Kakamega,KE_County_37,5667,20415,26082,20,202.95,12,37
372,23-Jan,2023,Jan,Kakamega,KE_County_37,6674,24425,31099,21,7.86,1,37
373,23-Feb,2023,Feb,Kakamega,KE_County_37,7260,28397,35657,24,5.86,2,37
374,23-Mar,2023,Mar,Kakamega,KE_County_37,9413,38093,47506,21,440.57,3,37
375,23-Apr,2023,Apr,Kakamega,KE_County_37,11368,44793,56161,20,442.9,4,37
376,23-May,2023,May,Kakamega,KE_County_37,14293,73084,87377,20,177.3,5,37
377,23-Jun,2023,Jun,Kakamega,KE_County_37,13279,65189,78468,20,164.3,6,37
378,23-Jul,2023,Jul,Kakamega,KE_County_37,10507,54316,64823,20,83.4,7,37
379,23-Aug,2023,Aug,Kakamega,KE_County_37,9101,40667,49768,20,67.15,8,37
380,23-Sep,2023,Sep,Kakamega,KE_County_37,7390,41611,49001,20,243.77,9,37
381,23-Oct,2023,Oct,Kakamega,KE_County_37,7152,30636,37788,20,252.83,10,37
382,23-Nov,2023,Nov,Kakamega,KE_County_37,6911,27793,34704,19,366.69,11,37
383,23-Dec,2023,Dec,Kakamega,KE_County_37,7103,29619,36722,19,198.22,12,37
384,24-Jan,2024,Jan,Kakamega,KE_County_37,7953,38382,46335,20,129.19,1,37
385,24-Feb,2024,Feb,Kakamega,KE_County_37,5716,22740,28456,22,106.31,2,37
386,24-Mar,2024,Mar,Kakamega,KE_County_37,7247,30549,37796,22,100.49,3,37
387,24-Apr,2024,Apr,Kakamega,KE_County_37,6470,26065,32535,19,428.61,4,37
388,24-May,2024,May,Kakamega,KE_County_37,8709,50121,58830,19,360.43,5,37
389,24-Jun,2024,Jun,Kakamega,KE_County_37,9377,50219,59596,19,163.27,6,37
390,24-Jul,2024,Jul,Kakamega,KE_County_37,9731,49659,59390,19,129.96,7,37
391,24-Aug,2024,Aug,Kakamega,KE_County_37,7305,31957,39262,19,157.02,8,37
392,24-Sep,2024,Sep,Kakamega,KE_County_37,5728,30464,36192,20,149.16,9,37
393,24-Oct,2024,Oct,Kakamega,KE_County_37,5416,22140,27556,20,20.57,10,37
394,24-Nov,2024,Nov,Kakamega,KE_County_37,4003,16854,20857,19,248.99,11,37
395,24-Dec,2024,Dec,Kakamega,KE_County_37,3642,15860,19502,20,88.65,12,37
396,22-Jan,2022,Jan,Kericho,KE_County_35,525,2716,3241,19,166.5,1,35
397,22-Feb,2022,Feb,Kericho,KE_County_35,443,2189,2632,19,94.31,2,35
398,22-Mar,2022,Mar,Kericho,KE_County_35,302,1873,2175,20,129.49,3,35
399,22-Apr,2022,Apr,Kericho,KE_County_35,338,1385,1723,18,374.55,4,35
400,22-May,2022,May,Kericho,KE_County_35,491,2464,2955,17,261.19,5,35
401,22-Jun,2022,Jun,Kericho,KE_County_35,779,2988,3767,16,79.19,6,35
402,22-Jul,2022,Jul,Kericho,KE_County_35,456,2190,2646,16,82.05,7,35
403,22-Aug,2022,Aug,Kericho,KE_County_35,405,1756,2161,16,203.88,8,35
404,22-Sep,2022,Sep,Kericho,KE_County_35,345,1427,1772,17,188.29,9,35
405,22-Oct,2022,Oct,Kericho,KE_County_35,395,1853,2248,18,139.18,10,35
406,22-Nov,2022,Nov,Kericho,KE_County_35,414,2057,2471,17,338.4,11,35
407,22-Dec,2022,Dec,Kericho,KE_County_35,423,1315,1738,18,196.28,12,35
408,23-Jan,2023,Jan,Kericho,KE_County_35,441,1734,2175,19,2.99,1,35
409,23-Feb,2023,Feb,Kericho,KE_County_35,545,3362,3907,21,3.57,2,35
410,23-Mar,2023,Mar,Kericho,KE_County_35,582,2760,3342,19,421.97,3,35
411,23-Apr,2023,Apr,Kericho,KE_County_35,468,2233,2701,17,607.85,4,35
412,23-May,2023,May,Kericho,KE_County_35,698,2516,3214,17,253.35,5,35
413,23-Jun,2023,Jun,Kericho,KE_County_35,798,4451,5249,16,301.4,6,35
414,23-Jul,2023,Jul,Kericho,KE_County_35,621,3336,3957,17,112,7,35
415,23-Aug,2023,Aug,Kericho,KE_County_35,602,2497,3099,17,82.05,8,35
416,23-Sep,2023,Sep,Kericho,KE_County_35,301,2009,2310,17,299.36,9,35
417,23-Oct,2023,Oct,Kericho,KE_County_35,505,2070,2575,18,83.32,10,35
418,23-Nov,2023,Nov,Kericho,KE_County_35,381,1586,1967,17,301.49,11,35
419,23-Dec,2023,Dec,Kericho,KE_County_35,521,2207,2728,18,149.07,12,35
420,24-Jan,2024,Jan,Kericho,KE_County_35,904,4218,5122,18,136.52,1,35
421,24-Feb,2024,Feb,Kericho,KE_County_35,714,3876,4590,20,91.59,2,35
422,24-Mar,2024,Mar,Kericho,KE_County_35,897,5650,6547,21,42.82,3,35
423,24-Apr,2024,Apr,Kericho,KE_County_35,526,2781,3307,17,360.63,4,35
424,24-May,2024,May,Kericho,KE_County_35,940,2710,3650,17,337.15,5,35
425,24-Jun,2024,Jun,Kericho,KE_County_35,1054,6215,7269,16,161.41,6,35
426,24-Jul,2024,Jul,Kericho,KE_County_35,896,5479,6375,16,140.23,7,35
427,24-Aug,2024,Aug,Kericho,KE_County_35,629,3718,4347,17,86.42,8,35
428,24-Sep,2024,Sep,Kericho,KE_County_35,412,3773,4185,17,142.71,9,35
429,24-Oct,2024,Oct,Kericho,KE_County_35,642,3395,4037,19,9.67,10,35
430,24-Nov,2024,Nov,Kericho,KE_County_35,469,2195,2664,18,304.66,11,35
431,24-Dec,2024,Dec,Kericho,KE_County_35,597,2783,3380,18,57.88,12,35
432,22-Jan,2022,Jan,Kiambu,KE_County_22,128,305,433,20,77.89,1,22
433,22-Feb,2022,Feb,Kiambu,KE_County_22,126,180,306,22,18.6,2,22
434,22-Mar,2022,Mar,Kiambu,KE_County_22,81,234,315,22,17.94,3,22
435,22-Apr,2022,Apr,Kiambu,KE_County_22,88,272,360,20,78.37,4,22
436,22-May,2022,May,Kiambu,KE_County_22,88,418,506,19,15.84,5,22
437,22-Jun,2022,Jun,Kiambu,KE_County_22,136,325,461,18,7,6,22
438,22-Jul,2022,Jul,Kiambu,KE_County_22,87,260,347,17,10.1,7,22
439,22-Aug,2022,Aug,Kiambu,KE_County_22,77,189,266,18,15.9,8,22
440,22-Sep,2022,Sep,Kiambu,KE_County_22,72,247,319,19,16.3,9,22
441,22-Oct,2022,Oct,Kiambu,KE_County_22,53,162,215,20,7.2,10,22
442,22-Nov,2022,Nov,Kiambu,KE_County_22,81,165,246,19,88.24,11,22
443,22-Dec,2022,Dec,Kiambu,KE_County_22,55,245,300,19,32.4,12,22
444,23-Jan,2023,Jan,Kiambu,KE_County_22,129,635,764,20,5.3,1,22
445,23-Feb,2023,Feb,Kiambu,KE_County_22,104,319,423,22,0.89,2,22
446,23-Mar,2023,Mar,Kiambu,KE_County_22,78,274,352,21,146.53,3,22
447,23-Apr,2023,Apr,Kiambu,KE_County_22,155,255,410,19,162.45,4,22
448,23-May,2023,May,Kiambu,KE_County_22,93,431,524,19,56.05,5,22
449,23-Jun,2023,Jun,Kiambu,KE_County_22,71,365,436,18,32.15,6,22
450,23-Jul,2023,Jul,Kiambu,KE_County_22,51,226,277,18,8,7,22
451,23-Aug,2023,Aug,Kiambu,KE_County_22,94,263,357,19,8.4,8,22
452,23-Sep,2023,Sep,Kiambu,KE_County_22,164,290,454,20,50,9,22
453,23-Oct,2023,Oct,Kiambu,KE_County_22,63,193,256,21,18.2,10,22
454,23-Nov,2023,Nov,Kiambu,KE_County_22,75,297,372,18,191.89,11,22
455,23-Dec,2023,Dec,Kiambu,KE_County_22,63,394,457,19,58.12,12,22
456,24-Jan,2024,Jan,Kiambu,KE_County_22,172,810,982,19,148.06,1,22
457,24-Feb,2024,Feb,Kiambu,KE_County_22,253,414,667,21,55.26,2,22
458,24-Mar,2024,Mar,Kiambu,KE_County_22,100,403,503,22,75.86,3,22
459,24-Apr,2024,Apr,Kiambu,KE_County_22,49,314,363,19,378.88,4,22
460,24-May,2024,May,Kiambu,KE_County_22,56,314,370,19,167.45,5,22
461,24-Jun,2024,Jun,Kiambu,KE_County_22,66,228,294,18,48.75,6,22
462,24-Jul,2024,Jul,Kiambu,KE_County_22,74,238,312,18,43.89,7,22
463,24-Aug,2024,Aug,Kiambu,KE_County_22,53,231,284,19,3.48,8,22
464,24-Sep,2024,Sep,Kiambu,KE_County_22,60,183,243,20,12.85,9,22
465,24-Oct,2024,Oct,Kiambu,KE_County_22,32,172,204,21,11.52,10,22
466,24-Nov,2024,Nov,Kiambu,KE_County_22,54,133,187,20,142.76,11,22
467,24-Dec,2024,Dec,Kiambu,KE_County_22,51,171,222,19,37.48,12,22
468,22-Jan,2022,Jan,Kilifi,KE_County_3,1164,7227,8391,27,7.2,1,3
469,22-Feb,2022,Feb,Kilifi,KE_County_3,950,4298,5248,27,6.3,2,3
470,22-Mar,2022,Mar,Kilifi,KE_County_3,668,2366,3034,28,13.5,3,3
471,22-Apr,2022,Apr,Kilifi,KE_County_3,458,1887,2345,28,124.4,4,3
472,22-May,2022,May,Kilifi,KE_County_3,841,4032,4873,27,71.37,5,3
473,22-Jun,2022,Jun,Kilifi,KE_County_3,1066,5310,6376,25,98.9,6,3
474,22-Jul,2022,Jul,Kilifi,KE_County_3,1070,5069,6139,24,69.52,7,3
475,22-Aug,2022,Aug,Kilifi,KE_County_3,1045,4016,5061,24,35.4,8,3
476,22-Sep,2022,Sep,Kilifi,KE_County_3,997,4057,5054,25,36.33,9,3
477,22-Oct,2022,Oct,Kilifi,KE_County_3,838,3699,4537,25,24.3,10,3
478,22-Nov,2022,Nov,Kilifi,KE_County_3,858,3031,3889,26,57.26,11,3
479,22-Dec,2022,Dec,Kilifi,KE_County_3,1129,4305,5434,27,32.8,12,3
480,23-Jan,2023,Jan,Kilifi,KE_County_3,1279,5486,6765,27,15.04,1,3
481,23-Feb,2023,Feb,Kilifi,KE_County_3,920,3902,4822,27,1.83,2,3
482,23-Mar,2023,Mar,Kilifi,KE_County_3,994,3226,4220,28,60.43,3,3
483,23-Apr,2023,Apr,Kilifi,KE_County_3,781,2841,3622,27,290,4,3
484,23-May,2023,May,Kilifi,KE_County_3,1142,5603,6745,26,90.7,5,3
485,23-Jun,2023,Jun,Kilifi,KE_County_3,1173,6078,7251,26,41.8,6,3
486,23-Jul,2023,Jul,Kilifi,KE_County_3,928,5272,6200,25,63.3,7,3
487,23-Aug,2023,Aug,Kilifi,KE_County_3,749,3918,4667,25,54.2,8,3
488,23-Sep,2023,Sep,Kilifi,KE_County_3,678,3585,4263,26,36.59,9,3
489,23-Oct,2023,Oct,Kilifi,KE_County_3,531,1803,2334,26,72.01,10,3
490,23-Nov,2023,Nov,Kilifi,KE_County_3,444,1801,2245,26,357.38,11,3
491,23-Dec,2023,Dec,Kilifi,KE_County_3,785,3288,4073,27,132.37,12,3
492,24-Jan,2024,Jan,Kilifi,KE_County_3,848,4137,4985,28,44.89,1,3
493,24-Feb,2024,Feb,Kilifi,KE_County_3,604,2536,3140,28,41.97,2,3
494,24-Mar,2024,Mar,Kilifi,KE_County_3,793,3053,3846,29,93.8,3,3
495,24-Apr,2024,Apr,Kilifi,KE_County_3,611,2609,3220,27,279.98,4,3
496,24-May,2024,May,Kilifi,KE_County_3,919,4612,5531,27,54.47,5,3
497,24-Jun,2024,Jun,Kilifi,KE_County_3,841,4342,5183,26,57.83,6,3
498,24-Jul,2024,Jul,Kilifi,KE_County_3,1254,5591,6845,25,47.52,7,3
499,24-Aug,2024,Aug,Kilifi,KE_County_3,1340,5317,6657,25,62.32,8,3
500,24-Sep,2024,Sep,Kilifi,KE_County_3,1553,6520,8073,26,45.62,9,3
501,24-Oct,2024,Oct,Kilifi,KE_County_3,1653,6090,7743,27,4.44,10,3
502,24-Nov,2024,Nov,Kilifi,KE_County_3,899,4169,5068,27,58.48,11,3
503,24-Dec,2024,Dec,Kilifi,KE_County_3,912,3675,4587,27,109.06,12,3
504,22-Jan,2022,Jan,Kirinyaga,KE_County_20,4,24,28,16,56.58,1,20
505,22-Feb,2022,Feb,Kirinyaga,KE_County_20,6,8,14,18,28.8,2,20
506,22-Mar,2022,Mar,Kirinyaga,KE_County_20,5,10,15,19,14.29,3,20
507,22-Apr,2022,Apr,Kirinyaga,KE_County_20,7,7,14,17,150.63,4,20
508,22-May,2022,May,Kirinyaga,KE_County_20,3,4,7,17,48.13,5,20
509,22-Jun,2022,Jun,Kirinyaga,KE_County_20,6,67,73,15,19.43,6,20
510,22-Jul,2022,Jul,Kirinyaga,KE_County_20,3,13,16,14,40.4,7,20
511,22-Aug,2022,Aug,Kirinyaga,KE_County_20,5,15,20,15,51.9,8,20
512,22-Sep,2022,Sep,Kirinyaga,KE_County_20,1,6,7,16,51.97,9,20
513,22-Oct,2022,Oct,Kirinyaga,KE_County_20,6,18,24,17,27.4,10,20
514,22-Nov,2022,Nov,Kirinyaga,KE_County_20,8,18,26,16,160.62,11,20
515,22-Dec,2022,Dec,Kirinyaga,KE_County_20,1,24,25,15,50.86,12,20
516,23-Jan,2023,Jan,Kirinyaga,KE_County_20,8,42,50,16,5.16,1,20
517,23-Feb,2023,Feb,Kirinyaga,KE_County_20,4,22,26,18,3.02,2,20
518,23-Mar,2023,Mar,Kirinyaga,KE_County_20,11,24,35,18,233.13,3,20
519,23-Apr,2023,Apr,Kirinyaga,KE_County_20,5,16,21,17,263.25,4,20
520,23-May,2023,May,Kirinyaga,KE_County_20,9,17,26,17,126.25,5,20
521,23-Jun,2023,Jun,Kirinyaga,KE_County_20,11,27,38,16,84.15,6,20
522,23-Jul,2023,Jul,Kirinyaga,KE_County_20,7,36,43,15,36.45,7,20
523,23-Aug,2023,Aug,Kirinyaga,KE_County_20,4,24,28,16,38.6,8,20
524,23-Sep,2023,Sep,Kirinyaga,KE_County_20,6,20,26,18,77.52,9,20
525,23-Oct,2023,Oct,Kirinyaga,KE_County_20,0,17,17,18,48.64,10,20
526,23-Nov,2023,Nov,Kirinyaga,KE_County_20,3,13,16,16,224.23,11,20
527,23-Dec,2023,Dec,Kirinyaga,KE_County_20,4,22,26,16,167.2,12,20
528,24-Jan,2024,Jan,Kirinyaga,KE_County_20,12,57,69,17,122.53,1,20
529,24-Feb,2024,Feb,Kirinyaga,KE_County_20,2,40,42,18,52.22,2,20
530,24-Mar,2024,Mar,Kirinyaga,KE_County_20,9,37,46,19,109.13,3,20
531,24-Apr,2024,Apr,Kirinyaga,KE_County_20,10,15,25,18,542.45,4,20
532,24-May,2024,May,Kirinyaga,KE_County_20,8,31,39,17,199.09,5,20
533,24-Jun,2024,Jun,Kirinyaga,KE_County_20,15,119,134,16,63.9,6,20
534,24-Jul,2024,Jul,Kirinyaga,KE_County_20,11,50,61,16,192.03,7,20
535,24-Aug,2024,Aug,Kirinyaga,KE_County_20,5,40,45,16,43.61,8,20
536,24-Sep,2024,Sep,Kirinyaga,KE_County_20,10,25,35,17,56.7,9,20
537,24-Oct,2024,Oct,Kirinyaga,KE_County_20,1,31,32,19,2.67,10,20
538,24-Nov,2024,Nov,Kirinyaga,KE_County_20,9,64,73,17,172.9,11,20
539,24-Dec,2024,Dec,Kirinyaga,KE_County_20,12,45,57,16,79.07,12,20
540,22-Jan,2022,Jan,Kisii,KE_County_45,630,3983,4613,20,107.54,1,45
541,22-Feb,2022,Feb,Kisii,KE_County_45,1100,3649,4749,20,137.88,2,45
542,22-Mar,2022,Mar,Kisii,KE_County_45,791,3251,4042,21,149.76,3,45
543,22-Apr,2022,Apr,Kisii,KE_County_45,754,3680,4434,20,371.37,4,45
544,22-May,2022,May,Kisii,KE_County_45,786,4358,5144,19,291.89,5,45
545,22-Jun,2022,Jun,Kisii,KE_County_45,1166,6049,7215,18,46.66,6,45
546,22-Jul,2022,Jul,Kisii,KE_County_45,561,3800,4361,19,44.92,7,45
547,22-Aug,2022,Aug,Kisii,KE_County_45,452,2898,3350,18,151.63,8,45
548,22-Sep,2022,Sep,Kisii,KE_County_45,464,2785,3249,19,141.28,9,45
549,22-Oct,2022,Oct,Kisii,KE_County_45,597,3874,4471,20,78.8,10,45
550,22-Nov,2022,Nov,Kisii,KE_County_45,611,3673,4284,18,283.73,11,45
551,22-Dec,2022,Dec,Kisii,KE_County_45,551,3393,3944,19,248.23,12,45
552,23-Jan,2023,Jan,Kisii,KE_County_45,801,4824,5625,20,7.01,1,45
553,23-Feb,2023,Feb,Kisii,KE_County_45,799,5055,5854,22,13.3,2,45
554,23-Mar,2023,Mar,Kisii,KE_County_45,782,4723,5505,19,394.21,3,45
555,23-Apr,2023,Apr,Kisii,KE_County_45,828,5232,6060,19,607.05,4,45
556,23-May,2023,May,Kisii,KE_County_45,1117,6688,7805,19,237.2,5,45
557,23-Jun,2023,Jun,Kisii,KE_County_45,982,6039,7021,18,178.25,6,45
558,23-Jul,2023,Jul,Kisii,KE_County_45,781,5718,6499,19,46.85,7,45
559,23-Aug,2023,Aug,Kisii,KE_County_45,807,4020,4827,20,49.05,8,45
560,23-Sep,2023,Sep,Kisii,KE_County_45,833,3992,4825,18,252.01,9,45
561,23-Oct,2023,Oct,Kisii,KE_County_45,566,3667,4233,20,76.79,10,45
562,23-Nov,2023,Nov,Kisii,KE_County_45,541,2951,3492,18,393.91,11,45
563,23-Dec,2023,Dec,Kisii,KE_County_45,588,3685,4273,19,251.76,12,45
564,24-Jan,2024,Jan,Kisii,KE_County_45,680,4230,4910,19,172.14,1,45
565,24-Feb,2024,Feb,Kisii,KE_County_45,761,3975,4736,20,128.92,2,45
566,24-Mar,2024,Mar,Kisii,KE_County_45,756,4737,5493,21,126.47,3,45
567,24-Apr,2024,Apr,Kisii,KE_County_45,490,3258,3748,18,446.32,4,45
568,24-May,2024,May,Kisii,KE_County_45,607,3428,4035,18,299.34,5,45
569,24-Jun,2024,Jun,Kisii,KE_County_45,696,3611,4307,18,96.75,6,45
570,24-Jul,2024,Jul,Kisii,KE_County_45,585,3579,4164,18,76,7,45
571,24-Aug,2024,Aug,Kisii,KE_County_45,568,3597,4165,19,35.19,8,45
572,24-Sep,2024,Sep,Kisii,KE_County_45,545,3012,3557,19,65.87,9,45
573,24-Oct,2024,Oct,Kisii,KE_County_45,511,3242,3753,20,14.28,10,45
574,24-Nov,2024,Nov,Kisii,KE_County_45,463,2493,2956,19,298.83,11,45
575,24-Dec,2024,Dec,Kisii,KE_County_45,496,3986,4482,19,128.26,12,45
576,22-Jan,2022,Jan,Kisumu,KE_County_42,6945,29173,36118,24,175.77,1,42
577,22-Feb,2022,Feb,Kisumu,KE_County_42,6500,20677,27177,23,103.6,2,42
578,22-Mar,2022,Mar,Kisumu,KE_County_42,6571,20422,26993,25,163.97,3,42
579,22-Apr,2022,Apr,Kisumu,KE_County_42,5144,17474,22618,23,440.01,4,42
580,22-May,2022,May,Kisumu,KE_County_42,6999,29695,36694,22,282.81,5,42
581,22-Jun,2022,Jun,Kisumu,KE_County_42,9207,39917,49124,22,108.52,6,42
582,22-Jul,2022,Jul,Kisumu,KE_County_42,7745,30705,38450,22,156.43,7,42
583,22-Aug,2022,Aug,Kisumu,KE_County_42,5230,19926,25156,22,226.16,8,42
584,22-Sep,2022,Sep,Kisumu,KE_County_42,5402,20374,25776,22,227,9,42
585,22-Oct,2022,Oct,Kisumu,KE_County_42,5972,25818,31790,23,133.75,10,42
586,22-Nov,2022,Nov,Kisumu,KE_County_42,6137,22930,29067,22,294.4,11,42
587,22-Dec,2022,Dec,Kisumu,KE_County_42,5566,18818,24384,22,226.07,12,42
588,23-Jan,2023,Jan,Kisumu,KE_County_42,7339,28003,35342,24,16.76,1,42
589,23-Feb,2023,Feb,Kisumu,KE_County_42,7199,30312,37511,26,10.58,2,42
590,23-Mar,2023,Mar,Kisumu,KE_County_42,6016,25371,31387,23,408.35,3,42
591,23-Apr,2023,Apr,Kisumu,KE_County_42,5132,20289,25421,22,560,4,42
592,23-May,2023,May,Kisumu,KE_County_42,7788,39536,47324,22,207.4,5,42
593,23-Jun,2023,Jun,Kisumu,KE_County_42,7457,35413,42870,22,200.8,6,42
594,23-Jul,2023,Jul,Kisumu,KE_County_42,6930,33364,40294,23,103.8,7,42
595,23-Aug,2023,Aug,Kisumu,KE_County_42,6659,27668,34327,23,67.2,8,42
596,23-Sep,2023,Sep,Kisumu,KE_County_42,5424,26818,32242,22,237.08,9,42
597,23-Oct,2023,Oct,Kisumu,KE_County_42,4978,19736,24714,23,152,10,42
598,23-Nov,2023,Nov,Kisumu,KE_County_42,4456,17034,21490,22,422.3,11,42
599,23-Dec,2023,Dec,Kisumu,KE_County_42,4361,19268,23629,22,225.31,12,42
600,24-Jan,2024,Jan,Kisumu,KE_County_42,6260,30035,36295,22,123.04,1,42
601,24-Feb,2024,Feb,Kisumu,KE_County_42,7073,31365,38438,24,98.05,2,42
602,24-Mar,2024,Mar,Kisumu,KE_County_42,7670,36779,44449,24,93.83,3,42
603,24-Apr,2024,Apr,Kisumu,KE_County_42,4507,21062,25569,22,355.92,4,42
604,24-May,2024,May,Kisumu,KE_County_42,6289,31317,37606,21,336.58,5,42
605,24-Jun,2024,Jun,Kisumu,KE_County_42,6855,33194,40049,21,93.96,6,42
606,24-Jul,2024,Jul,Kisumu,KE_County_42,7074,29281,36355,22,74.08,7,42
607,24-Aug,2024,Aug,Kisumu,KE_County_42,5404,22584,27988,22,50.12,8,42
608,24-Sep,2024,Sep,Kisumu,KE_County_42,5844,25613,31457,23,85.06,9,42
609,24-Oct,2024,Oct,Kisumu,KE_County_42,4565,17134,21699,23,78.08,10,42
610,24-Nov,2024,Nov,Kisumu,KE_County_42,3909,14986,18895,22,301.97,11,42
611,24-Dec,2024,Dec,Kisumu,KE_County_42,3726,16569,20295,22,93.09,12,42
612,22-Jan,2022,Jan,Kitui,KE_County_15,11,110,121,19,49.92,1,15
613,22-Feb,2022,Feb,Kitui,KE_County_15,13,67,80,21,27.9,2,15
614,22-Mar,2022,Mar,Kitui,KE_County_15,12,62,74,21,15.5,3,15
615,22-Apr,2022,Apr,Kitui,KE_County_15,2,26,28,20,68.98,4,15
616,22-May,2022,May,Kitui,KE_County_15,9,16,25,19,17.83,5,15
617,22-Jun,2022,Jun,Kitui,KE_County_15,4,24,28,17,10.4,6,15
